x1,x2,y
0.435008623,0.432404454,0
0.806656757,0.850198703,1
0.661856446,0.677902117,1
0.608045211,0.4761632,1
0.453813592,0.345226399,0
0.669405361,0.441767334,0
0.774105276,0.570424659,0
0.49254361,0.752502619,1
0.389307462,0.411585322,0
0.890289591,0.588833261,1
0.628911725,0.83917873,1
0.334241596,0.646261642,0
0.393456331,0.63144732,0
0.629467487,0.49592657,1
0.771003128,0.611018758,1
0.685975552,0.58826777,1
0.670966193,0.936817207,1
0.543842803,0.681201062,0
0,0.552498843,0
0.739289768,0.731165493,1
0.639243426,0.771273711,1
0.876835282,0.504858743,0
0.654518702,0.796904398,1
0.702328832,0.735489749,1
0.490336074,0.859222097,1
0.643942971,0.416878663,0
0.776181195,0.558236928,0
0.300839483,0.322926558,0
0.766235358,0.57694814,0
0.339197572,0.728766663,0
0.752161213,0.558979945,1
0.988926158,0.475784193,1
0.706612424,0.554409617,1
0.901024741,0.316878109,0
0.741960555,0.669694893,1
0.518557429,0.472183044,0
0.273361622,0.579819987,0
0.8342049,0.854458498,1
0.931512425,0.486349473,0
0.89011112,0.789223041,1
0.779217969,0.367826422,0
0.458273335,0.746550632,0
0.396145165,0.80751572,0
0,0.700674297,0
0.714982888,0.42631084,0
0.620589531,0.889910627,1
0.760652993,0.688535776,1
0.600695845,0.373126866,0
0.530752666,0.718267062,1
0.739278021,0.66215377,1
0.75431128,0.759123164,1
0.596583437,0.82036679,0
0.974113847,0.914181774,1
0.396655992,0.613804354,0
0.218508234,0.729413914,0
0.681249762,0.515037172,0
1,0.491236538,0
0.620441973,0.7616492,1
0.687577001,0.536730611,0
0.82462817,0.466681473,0
0.565837248,1,0
0.443162652,0.852892271,0
0.654600433,0.258595508,0
0.433093657,0.861748522,0
0.435809263,0.60035624,0
0.435889693,0.454591497,0
1,0.154007264,0
0.347784279,0.596576322,0
0.587361921,0.676192515,0
0.314154111,0.272794651,0
0.179788223,0.758217856,0
0.701512057,0.699554709,1
0.665108997,0.579096241,1
0.426109918,0.539830824,0
0.847001476,0.97395757,1
0.830916538,0.435469096,0
0.727593012,0.81560081,1
0.8645835,0.709209768,1
0.850165667,0.472567152,1
0.852520835,0.77111796,1
0.976328438,0.568563537,0
0.859631253,0.877948969,1
0.49984342,0.435825423,0
0.877912813,0.619552191,1
0.199491764,0.449056188,0
0.925678973,0.633461103,1
0.497903288,0.486565091,1
0.342226965,0.661537136,0
0.784460067,0.858490143,1
0.726849301,0.417914941,0
0.621348997,0.455566387,1
0.465009653,0.63246641,0
0.666394256,0.932552482,1
0.778867294,0.859670326,1
0.419444003,0.391109266,0
0.01030382,0.593583472,0
0.645491677,0.523899673,1
0.395651287,0.161060166,0
0.584359839,0.713920471,1
0.464514003,0.736789723,0
