x1,x2,y
0.314295607,0.961969584,1
0.825709874,0.872662959,1
0.317013423,0.445919334,1
0.187856723,0.702310868,1
0.473694421,0.432661857,0
0.084198518,0.859918271,1
0.856876264,0.418165055,0
0.937684928,0.836981757,0
0.340258808,0.861341278,1
0.877208988,0.204148183,0
0.584450466,0.871518068,1
0.654568734,0.471304947,0
0.05771667,0.831551398,1
0.305180599,0.278446716,0
0.226417818,0.455844438,1
0.598240748,0.417406187,0
0.477722628,0.561787032,1
0.732557737,0.975766121,1
0.755979587,0.365696928,0
0.672676495,0.856056858,1
0.143195645,0.157424407,1
0.57316251,0.880068528,1
0.120111813,0.756577678,1
0.230543292,0.755837775,1
0.644756234,0.965896814,1
0.619394216,0.409825158,0
0.95365646,0.515571588,0
0.924762779,0.350314304,0
0.056367729,0.895404355,1
0.892173786,0.120295746,0
0.836674092,0.892868758,1
0.160124428,0.928964222,1
0.201874602,0.608493544,1
0.559846409,0.17933517,0
0.378157062,0.982484822,1
0.100448617,0.026908583,0
0.873625552,0.720397118,0
0.649948595,0.201730348,0
0.70026139,0.037749458,0
0.062160971,0.51844417,1
0.916457653,0.132993376,0
0.837375969,0.27317802,0
0.153398981,0.671571853,1
0.296126365,0.094163701,0
0.489111662,0.732551105,1
0.519722657,0.172695045,0
0.433361202,0.469364696,1
0.599038359,0.719098933,1
0.663360996,0.486311567,0
0.539753979,0.090712292,0
0.551880905,0.042309786,0
0.116116442,0.818393488,1
0.26831211,0.650732594,1
0.204771472,0.958336588,1
0.294969999,0.271239069,0
0.002039222,0.66657067,1
0.8190528,0.874305019,1
0.05430793,0.679798399,1
0.469244755,0.238594283,0
0.719775345,0.784521344,1
0.896618576,0.858810394,0
0.064071643,0.983993884,1
0.505249016,0.87204176,1
0.701083591,0.32336462,0
0.170312268,0.367256795,1
0.540962119,0.418849132,0
0.842765694,0.196668742,0
0.387178071,0.673889949,1
0.184623622,0.677980376,1
0.203563594,0.988671758,1
0.198277572,0.226579455,1
0.220393738,0.344387058,1
0.119844223,0.805742713,1
0.980221319,0.351422462,0
0.966866959,0.181240191,0
0.86408019,0.777126689,0
0.358772298,0.657841966,1
0.695675522,0.217513496,0
0.837774813,0.905194838,1
0.981070191,0.122006119,0
0.364693618,0.303075569,0
0.602767026,0.191958737,0
0.552629735,0.939823835,1
0.162813507,0.081264538,0
0.346830594,0.670202113,1
0.21437593,0.680766435,1
0.379729962,0.716689123,1
0.587180604,0.512741296,0
0.023307366,0.419537199,1
0.095432165,0.563011212,1
0.044652016,0.136881481,1
0.989659893,0.4599867,0
0.588824846,0.488167428,0
0.970706179,0.835546132,0
0.396116699,0.691007281,1
0.888058593,0.456177494,0
0.534748703,0.854560524,1
0.519096888,0.629325347,1
0.972373468,0.889206465,0
0.121203685,0.293565325,1
0.63113717,0.329387126,0
0.52479541,0.217360142,0
0.593605989,0.465016503,0
0.71132746,0.774451877,1
0.093026073,0.323259999,1
0.86392674,0.423156205,0
0.907255652,0.509458716,0
0.673570164,0.192878062,0
0.843439081,0.21141006,0
0.417605933,0.496538392,1
0.271151183,0.344712409,1
0.671928484,0.495393058,0
0.744645013,0.651131697,0
0.492404346,0.04728482,0
0.127160469,0.335283897,1
0.633221985,0.44724657,0
0.621923635,0.222368325,0
0.759982096,0.0314314,0
0.322373421,0.16144052,0
0.917884673,0.05932178,0
0.091582125,0.886367314,1
0.62586487,0.930268333,1
0.826419504,0.587115781,0
0.608624627,0.96895761,1
0.056110934,0.893386705,1
0.142161929,0.588257194,1
0.492530172,0.757132801,1
0.520184955,0.79235047,1
0.149359764,0.940775445,1
0.906336988,0.524033995,0
0.843374888,0.731299826,0
0.610409964,0.058139165,0
0.073696251,0.054228569,0
0.278005764,0.406830584,1
0.365369821,0.822657766,1
0.69679818,0.200360214,0
0.582332619,0.712590883,1
0.509431337,0.735593685,1
0.282152537,0.417165885,1
0.906562498,0.496066357,0
0.161086827,0.277657061,1
0.031450752,0.858086328,1
0.417290983,0.514032557,1
0.036784226,0.928189611,1
0.299830781,0.412768039,1
0.598701272,0.678201148,1
0.110701699,0.241887957,1
0.806290211,0.40146172,0
0.005273666,0.582313766,1
0.8627176,0.370162023,0
0.468684012,0.554828974,1
0.081267199,0.396183979,1
0.979308432,0.253266393,0
0.354802311,0.882242381,1
0.640946294,0.435260771,0
0.586033918,0.717502726,1
0.707882925,0.331311921,0
0.961686879,0.921656137,0
0.560347553,0.45513575,0
0.053985934,0.81548811,1
0.127162369,0.618442994,1
0.350533959,0.305658937,0
0.817683574,0.243768135,0
0.757699181,0.292477971,0
0.33952779,0.780600595,1
0.017568082,0.576766727,1
0.963061521,0.67168641,0
0.804214139,0.718535784,0
0.889296666,0.004355907,0
0.848877368,0.702775146,0
0.072436805,0.780811615,1
0.12140323,0.299313459,1
0.510837992,0.419263229,0
0.67069173,0.507106333,0
0.055652256,0.669222686,1
0.672544192,0.219852563,0
0.730246022,0.335209353,0
0.576906099,0.160394974,0
0.73743762,0.65905358,0
0.28577577,0.855306426,1
0.248344986,0.015858288,0
0.76643299,0.990318254,1
0.526030131,0.68535004,1
0.36487883,0.160912293,0
0.693889479,0.786257945,1
0.492004163,0.185179069,0
0.181107829,0.166119336,0
0.321634748,0.754675557,1
0.197015512,0.984781268,1
0.428098362,0.473210553,1
0.454482346,0.136210726,0
0.300042349,0.777491461,1
0.61609579,0.398510026,0
0.898742273,0.643708508,0
0.803500308,0.273088064,0
0.372807643,0.892579158,1
0.42978667,0.261324391,0
0.685126194,0.009016994,0
0.458405027,0.766748772,1
0.817468897,0.930659502,1
0.342855283,0.836465953,1
0.565851164,0.819142854,1
0.800295386,0.890654826,1
0.2875115,0.781082562,1
0.807515783,0.915552019,1
0.004436135,0.153279302,1
0.138185792,0.242192232,1
0.142015186,0.8594717,1
0.587645289,0.068226913,0
0.161555088,0.000104769,0
0.575676584,0.107293312,0
0.797741569,0.461260447,0
0.073632758,0.002527041,0
0.164975328,0.230874039,1
0.553547398,0.24423459,0
0.973710026,0.976238358,1
0.055412746,0.904676373,1
0.416153578,0.851519968,1
0.519005264,0.240882862,0
0.316308303,0.044719123,0
0.921965073,0.63274972,0
0.212629002,0.06345444,0
0.642044335,0.630700906,0
0.591510671,0.307616439,0
